dataid,primary_residence,number_floors,year_moved_into_house,month_moved_into_house,year_house_constructed,foundation_pier_beam,foundation_slab,house_num_rooms,house_square_feet,house_ceiling_height,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,smartphone_own,smartphone_models,tablet_own,tablet_models,pv_system_own,pv_system_size,electricity_used_monthly,gas_used_monthly,retrofits,retrofits_detail,retrofits_reason,appliance_blender,appliance_toaster,appliance_hairdryer,appliance_iron,appliance_fan,appliance_vacuum,appliance_battery_charger,appliance_electric_lawn,appliance_electric_tools,appliance_pond_garden_pump,irrigation_system,cooking_weekdays_times,cooking_weekends_times,cooking_weekdays_morning,cooking_weekdays_midday,cooking_weekdays_evening,cooking_weekdays_none,cooking_weekends_morning,cooking_weekends_midday,cooking_weekends_evening,cooking_weekends_none,blinds_summer,blinds_winter,thermostat_settings,tv_hours,vehicles_count,ceiling_fans_count,care_energy_cost,reduce_energy_cost,reduce_energy_yes,modify_routines,hvac_central_air_gas_furnace,hvac_central_air_electric_furnace,hvac_twoway_heat_pump,hvac_geothermal_heat_pump,hvac_window_ac,hvac_ductless,hvac_no_ac,hvac_dont_know,compressors_count,compressor1_brand,compressor1_year,compressor1_model,compressor2_brand,compressor2_year,compressor2_model,compressor3_brand,compressor3_year,compressor3_model,air_handler1_brand,air_handler1_year,air_handler1_model,air_handler2_brand,air_handler2_year,air_handler2_model,heating_gas,heating_electric_resistance,heating_electric_heat_pump,heating_plugin_space_heater,heating_none,heating_dont_know,temp_summer_weekday_workday,temp_summer_weekday_morning,temp_summer_weekday_evening,temp_summer_sleeping_hours_hours,temp_summer_weekend_hours,temp_winter_weekday_workday,temp_winter_weekday_morning,temp_winter_weekday_evening,temp_winter_sleeping_hours_hours,temp_winter_weekend_hours,pets,thermostats_count,thermostats_brand,programmable_thermostat_currently_programmed,programmable_thermostat_difficultly,ac_comfortability,house_drafty,ac_cooling_evenly,ac_floor_different_temperatures,ac_cooling_equally_first_warmer,ac_cooling_equally_second_warmer,ac_cooling_equally_third_warmer,change_ac_filters,ac_service_package,ac_service_package_cost,ac_service_date,dishwasher_number,dishwasher_brand,refrigerator_number,refrigerator_brand,clotheswasher_number,clotheswasher_brand,electric_clothesdryer_number,electric_clothesdryer_brand,gas_clothesdryer_number,gas_clothesdryer_brand,electric_waterheater_number,electric_waterheater_brand,gas_waterheater_number,gas_waterheater_brand,electric_ovenrange_number,electric_ovenrange_brand,gas_ovenrange_number,gas_ovenrange_brand,microwaveoven_number,microwaveoven_brand,toasteroven_number,toasteroven_brand,television_number,television_brand,ceilingfan_number,ceilingfan_brand,large_powertools_number,large_powertools_brand,electricvehicle_number,electricvehicle_brand,sprinklersystem_number,sprinklersystem_brand,swimming_pool_pump_number,swimming_pool_pump_brand,water_heater_tankless,light_bulbs_incandescent,light_bulbs_cfl,light_bulbs_led,light_bulbs_halogen,light_bulbs_fluorescent,typical_bulb_lamps,typical_bulb_fans,recessed_lights_location,track_lights_location,electronic_devices_cable_box_number,electronic_devices_dvr_number,electronic_devices_wifi_number,electronic_devices_game_system_number,electronic_devices_on_other
7319,Yes,Two,2011,,1990,,Slab,9,2900,10-Sep,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,0,,Postgraduate degree,$100-000 - $149-999,Yes,Samsung Galaxy 2 (2009)- Samsung Galaxy 3 (2012),Yes,Kindle Fire (2012),No,,650-1000,10-20 ccf,No,,,several times a week,once or twice a week,several times a week,once or twice a month,daily basis,once or twice a month,daily basis,rarely,rarely,daily basis,Yes,Less than 1 hour,Less than 1 hour,,,Evening,,,,Evening,,Rarely or never,Rarely or never,We are generally in agreement,more than 10,2,6,Yes,Yes,25%,Yes,Split system with gas furnace,,,,,,,,2,Lennox,,Model HS27-036-1P- Serial: 5800F32030,Lennox,,Model: HS27-024-3P- Serial: 5802D52976,,,,Lennox,,Model: G40WH 24A04503- Serial: 5802D58696,,,,Gas heat (gas furnace),,,,,,80,78,78,77,78,65,70,70,65,70,No,2,nest,Yes,Moderately difficult,3,Yes,,The cooling is even- but not the heating is uneven,,,,Every 4-6 months,No,,2-3 years ago,1,GE Profile 2003 PC36310,1,Samsung 2011 RFG237AARS,1,GE Profile 2007 WPGT915OHMG,1,GE Profile 2007 DPGT650EHMG,,,,,1,GE Profile 2000 PG50T9A,1 Oven- 1 Range,Oven: JennAir 1991 W130; Range: GE Profile 2005 PP989DN2BB,,,1,GE Profile 2005 SCV1000KBB01,,,3,"Sharp 42"" LCD LC42D43U 2008- Philips 40"" LCD 40PFL3705D/F7 2006-  Sharp 37"" LCD LC40C37U 2006",8,?,,,,,1,Toro LawnMaster Model: 53603,,,No,,CFL,,,,,,Kitchen- halls,n/a,3,2,1,1,n/a
7510,Yes,Two,2007,,1992,,Slab,10,3850,10,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,2,,,1,,,,2,,Postgraduate degree,$150-000 - $299-000,Yes,Iphone 4; Iphone5; android,Yes,daughter has ipad from school,Yes,6.24KW,1200-2400 KW/m,,No,,N/A,rarely,rarely,N/A,rarely,daily basis,once or twice a week,daily basis,once or twice a week,once or twice a week,once or twice a week,Yes,Less than 1 hour,Less than 1 hour,,,Evening,,,Mid-day,Evening,,Most days,Some days,Our preferences vary 3-5 degrees Fahrenheit,0,3,6,Yes,No,,Yes,,,Heat Pump,,,,,,2,Lennox,2007,,lennox,2007,,,,,lennox,2007,,lennox,2007,,,,Electric heat pump,Plug-in space heaters,,,80,80,78,78,80,68,70,70,68,68,Yes,2,nest,Yes,Easy,5,Somewhat,,,Individual rooms on the first floor are warmer than others,Neither; the cooling and heating are both uneven,,Every 6-12 months,Yes,service experts $180,Less than a year ago,1,bosch 2010,1,whirlpool gold,1,,1,,,,1,,,,1,,,,1,,,,,,8,,2,,1,,1,,,,No,,CFL,LED,,,CFL,LED,bathroom,,None,None,1,None,computers
7982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,82,78,78,78,80,68,70,68,66,68,Yes,1,Ecobee,Yes,Moderately difficult,2,No,,,Individual rooms on the first floor are warmer than others,,,Every 4-6 months,No,,Never,1,,1,,1,,0,,1,,0,,1,,1 electric oven,,1 gas range,,1,,1,,2,,5,,0,,1,,1,,0,,No,Incandescent,CFL,,,Fluorescent,CFL,Incandescent,Kitchen,none,None,None,1,1,
7982,Yes,One,2008,,2008,,Slab,3,1720,9,,,,,Thursday,,,,Caucasian,,,,,1,1,,,,,1,2,,,Postgraduate degree,more than $1-000-000,Yes,iPhone 5,Yes,iPad,Yes,3.8,500,40,Yes,Just installed a new garage door that with a higher R rating.,No,daily basis,several times a week,several times a week,rarely,daily basis,once or twice a week,daily basis,once or twice a month,once or twice a month,N/A,Yes,None,None,,,Evening,,Morning,Mid-day,Evening,,Most days,Some days,Our preferences vary 3-5 degrees Fahrenheit,4,2,5,Yes,No,,Yes,Split system with gas furnace,,,,,,,,1,Your Mom,2007,Nope,,,,,,,Really,No attic,spiders,,,,Gas heat (gas furnace),,,,,,64,,,64,,,,,61,,Yes,1,Something Grant installed,Yes,Moderately difficult,3,No,Both; the cooling and heating are both even,,,,,Every 4-6 months,No,,Never,Im not doing this now.,It would take too long,Holy cow.,This will be lengthy.,This will be great info- though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFL,,,Fluorescent,CFL,Incandescent,kitchen,none,None,None,1,1,nah
8061,Yes,Three,2012,December,2012,,Slab,3,1600,12ft,,,,,,Friday,,,Caucasian,,Native American/Alaska Native,,,2,None,0,0,0,0,1,1,0,0,College graduate,$100-000 - $149-999,Yes,iPhone,Yes,iPad,No,,197,6 therms,No,,N/A,daily basis,daily basis,N/A,once or twice a week,N/A,once or twice a week,daily basis,N/A,once or twice a month,N/A,No,Less than 1 hour,Less than 1 hour,Morning,,Evening,,Morning,,Evening,,Rarely or never,Rarely or never,We are generally in agreement,3,2,,Yes,No,,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,75,70,69,65,70,70,75,70,65,70,No,3,2gig,Yes,Easy,1,I dont know/Havent noticed,,,,Neither; the cooling and heating are both uneven,Individual rooms on the third floor are warmer than others,Every 4-6 months,No,,I dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,LED,,Fluorescent,LED,,Kitchen- stairs- bathrooms,,2,1,1,1,
8292,,Two,2012,April,2012,,Slab,,2000,9,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,2,,,Postgraduate degree,,No,,Yes,ipad (2011) ipad mini (2012),No,,,,No,,N/A,once or twice a week,several times a week,several times a week,once or twice a month,daily basis,once or twice a month,once or twice a week,N/A,rarely,N/A,Yes,Less than 1 hour,An hour or more,Morning,Mid-day,Evening,,Morning,Mid-day,Evening,,Most days,Some days,We are generally in agreement,2,1,2,Yes,,,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,77,77,76,77,77,72,72,72,72,72,Yes,1,Honeywell,No,Havent tried,3,No,Both; the cooling and heating are both even,,,,,Every 4-6 months,No,,Never,1,,1,,1,,1,,0,,0,,1,,0,,1,,1,,0,,0,,2,,0,,0,,1,,0,,No,Incandescent,CFL,LED,,Fluorescent,Incandescent,CFL,Living- Kitchen,none,None,None,3,None,Stereo -- left in standby after listening or watching a movie
8342,Yes,Three,2013,August,2013,,,3,140,,,Monday,Tuesday,Wednesday,Thursday,Friday,Asian/Pacific Islander,,,,,,,None,3,,,,,1,2,,,College graduate,$75-000 - $99-999,Yes,iPhone 4s,Yes,iPad 2,No,,246,8 therms,No,,,rarely,N/A,several times a week,once or twice a month,N/A,once or twice a month,daily basis,N/A,rarely,N/A,No,Less than 1 hour,Less than 1 hour,,,Evening,,,,Evening,,Rarely or never,Rarely or never,We are generally in agreement,4,3,,Yes,Yes,15,Yes,Split system with gas furnace,,,,,,,,1,Goodman,,GSX13,,,,,,,,,,,,,,,,,,I dont know,78,78,78,78,78,60,60,60,60,60,No,1,,I dont know,Easy,3,No,,The cooling is even- but not the heating is uneven,,,,Every 4-6 months,No,,Never,F3191819,WDT710PAYM4,C29443AD300683X,RFG237AARS/XXA,C32652132,WFW94HEAW0,,,2030,WGD94HEAW2,,,,,,,D32133734,WOS92EC0AS01,TR31814398,WMH75520AS-0,,,,,,,,,,,,,,,Yes,,CFL,LED,,Fluorescent,CFL,,Kitchen,no,1,1,1,2,
8342,Yes,Three,2013,August,2013,,Slab,3,1401,,,Monday,Tuesday,Wednesday,Thursday,Friday,Asian/Pacific Islander,,,,,,,None,3,0,0,0,0,0,3,0,0,College graduate,$75-000 - $99-999,Yes,iPhone 4s Nov. 2011,Yes,iPad 2 Dec 2012,No,,480,3,No,,Yes,rarely,N/A,once or twice a week,rarely,N/A,once or twice a month,several times a week,N/A,rarely,N/A,No,Less than 1 hour,An hour or more,,Mid-day,Evening,,,Mid-day,Evening,,Rarely or never,Some days,,1,1,,Yes,Yes,,Yes,,,,,,,,I dont know,1,,,,,,,,,,,,,,,,,,,,,I dont know,78,78,78,78,78,,,,,,No,1,,Yes,Easy,3,I dont know/Havent noticed,,,,Neither; the cooling and heating are both uneven,,Every 4-6 months,No,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFL,LED,,Fluorescent,,,,,,,,,
9654,Yes,One,2010,,1954,Pier and beam,,2,1300,10,none,,,,,,,,Caucasian,,,,,None,None,0,0,0,0,0,0,0,0,College graduate,$50-000 - $74-999,Yes,iPhone 5,No,,No,,225,200,No,,N/A,daily basis,daily basis,rarely,once or twice a month,once or twice a week,once or twice a week,daily basis,once or twice a week,several times a week,N/A,No,An hour or more,An hour or more,Morning,Mid-day,Evening,,Morning,Mid-day,Evening,,Most days,Most days,We are generally in agreement,8,1,4,Yes,Yes,20%,Yes,Split system with gas furnace,,,,,,,,1,Corsaire,FADC-030JAS,6503F150007118,,,,,,,Rheem,EZ-1425,,,,,Gas heat (gas furnace),,,,,,78,78,78,78,78,68,68,68,68,68,Yes,1,Nest,Yes,Easy,3,Somewhat,Both; the cooling and heating are both even,,,,,Every 4-6 months,No,,2-3 years ago,1,Kenmore,1,Kenmore,1,Duet,0,,1,Duet,1,,0,,0,,1,Kenmore,1,Samsung,1,Breville,1,Samsung,4,Harbor Bay,0,,0,,0,,0,,No,Incandescent,CFL,,Halogen,Fluorescent,CFL,Incandescent,throughout,na,None,1,1,None,na
9775,Yes,One,2012,September,2012,Pier and beam,,7,2300,9,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,None,1,0,0,0,0,0,0,2,0,College graduate,$75-000 - $99-999,Yes,Samsung S4,,iPad,No,,,,No,,N/A,rarely,rarely,daily basis,once or twice a month,once or twice a week,once or twice a week,,N/A,N/A,N/A,No,None,Less than 1 hour,,,,I/we do not usually cook at home,,Mid-day,,,Most days,Most days,We are generally in agreement,more than 10,2,2,Yes,Yes,10%,Yes,Split system with gas furnace,,,,,,,,1,,2011,,,,,,,,,2011,,,,,Gas heat (gas furnace),,,,,,78,74,74,76,74,73,73,73,70,73,Yes,1,,Yes,Easy,5,No,Both; the cooling and heating are both even,,,,,Every 6-12 months,No,,1-2 years ago,GE,,GE,,GE,,,,GE,,,,,,GE,,,,,,,,,,,,,,,,,,,,No,Incandescent,CFL,LED,Halogen,Fluorescent,Fluorescent,Halogen,,,2,2,1,None,Computer
9932,,Two,1998,,1998,Pier and beam,Slab,8,2350,Different hights in different rooms,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,1,,,,,,,,2,Postgraduate degree,$50-000 - $74-999,No,,No,,Yes,5.2,-60,21,Yes,Duct sealing- caulking,Yes,several times a week,several times a week,several times a week,rarely,daily basis,once or twice a month,daily basis,once or twice a week,once or twice a month,daily basis,No,Less than 1 hour,Less than 1 hour,Morning,Mid-day,Evening,,Morning,Mid-day,Evening,,Most days,Rarely or never,We are generally in agreement,more than 10,2,6,Yes,Yes,As much a possible,Yes,Split system with gas furnace,,,,,,,,1,Carrier,2005,,,,,,,,Carrier,2005,,,,,Gas heat (gas furnace),,,Plug-in space heaters,,,82,82,82,78,82,68,,68,60,68,No,1,Nest,Yes,Easy,4,No,,The cooling is even- but not the heating is uneven,,,,Every 6-12 months,No,,2-3 years ago,1,Bosch,1,Kenmore,,Kenmore,,,1,Maytag,,,1,Rhem,1,GE,,,,GE,1,Black and Decker,4,Sony,7,Hunter,,,1,Nissan Leaf,,,,,No,,CFL,LED,,Fluorescent,CFL,CFL,Bathroom,,1,None,1,None,Someone already came to my house and recorded the model numbers- serial numbers etc. for all of my appliances so I dont feel it is necessary to do that again.
9982,Yes,One,2008,,2008,,Slab,4,1400,10 ft,,Monday,,Wednesday,Thursday,Friday,,,Caucasian,,,,,3,None,1,1,,,,2,,,Postgraduate degree,$50-000 - $74-999,Yes,iPhone 4S 2012,No,,Yes,3kw,,,Yes,Gas line for stove added- new gas stove & new dishwasher ,No,once or twice a week,several times a week,daily basis,once or twice a week,daily basis,daily basis,daily basis,once or twice a month,once or twice a month,N/A,Yes,An hour or more,An hour or more,Morning,,Evening,,Morning,Mid-day,Evening,,Most days,Some days,We are generally in agreement,7,2,3,Yes,Yes,As much as I can reasonably reduce it,Yes,Split system with gas furnace,,,,,,,,1,,,,,,,,,,,,,,,,Gas heat (gas furnace),,,,,,79,78,78,77,78,65,65,67,62,,No,1,Honeywell,Yes,Moderately difficult,4,No,,,,,,Every 2-3 months,No,,1-2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Incandescent,CFL,LED,Halogen,Fluorescent,CFL,CFL,,Kitchen ,None,None,1,None,
